"table_name","constraint_name","constraint_definition","constraint_type_desc","constraint_type"
"invitations","invitations_status_check","CHECK ((status = ANY (ARRAY['pending'::text, 'accepted'::text, 'rejected'::text, 'expired'::text])))","c","c"
"invitations","invitations_invited_by_fkey","FOREIGN KEY (invited_by) REFERENCES auth.users(id) ON DELETE CASCADE","f","f"
"invitations","invitations_team_id_fkey","FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE CASCADE","f","f"
"invitations","invitations_pkey","PRIMARY KEY (id)","p","p"
"invitations","invitations_token_key","UNIQUE (token)","u","u"
"team_members","team_members_role_check","CHECK ((role = ANY (ARRAY['admin'::text, 'member'::text, 'guest'::text])))","c","c"
"team_members","team_members_status_check","CHECK ((status = ANY (ARRAY['invited'::text, 'active'::text, 'inactive'::text])))","c","c"
"team_members","team_members_invited_by_fkey","FOREIGN KEY (invited_by) REFERENCES auth.users(id) ON DELETE SET NULL","f","f"
"team_members","team_members_team_id_fkey","FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE CASCADE","f","f"
"team_members","team_members_user_id_auth_users_fkey","FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE","f","f"
"team_members","team_members_user_id_profiles_fkey","FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE","f","f"
"team_members","team_members_pkey","PRIMARY KEY (id)","p","p"
"team_members","team_members_team_id_user_id_key","UNIQUE (team_id, user_id)","u","u"
"team_members","team_members_user_team_key","UNIQUE (user_id, team_id)","u","u"
"team_projects","team_projects_project_id_fkey","FOREIGN KEY (project_id) REFERENCES projects(id) ON DELETE CASCADE","f","f"
"team_projects","team_projects_team_id_fkey","FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE CASCADE","f","f"
"team_projects","team_projects_pkey","PRIMARY KEY (id)","p","p"
"team_projects","team_projects_team_id_project_id_key","UNIQUE (team_id, project_id)","u","u"
"team_tasks","team_tasks_task_id_fkey","FOREIGN KEY (task_id) REFERENCES tasks(id) ON DELETE CASCADE","f","f"
"team_tasks","team_tasks_team_id_fkey","FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE CASCADE","f","f"
"team_tasks","team_tasks_pkey","PRIMARY KEY (id)","p","p"
"team_tasks","team_tasks_team_id_task_id_key","UNIQUE (team_id, task_id)","u","u"
"teams","teams_created_by_fkey","FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE CASCADE","f","f"
"teams","teams_pkey","PRIMARY KEY (id)","p","p"
"user_roles","user_roles_created_by_fkey","FOREIGN KEY (created_by) REFERENCES auth.users(id)","f","f"
"user_roles","user_roles_project_id_fkey","FOREIGN KEY (project_id) REFERENCES projects(id) ON DELETE CASCADE","f","f"
"user_roles","user_roles_role_id_fkey","FOREIGN KEY (role_id) REFERENCES roles(id) ON DELETE CASCADE","f","f"
"user_roles","user_roles_team_id_fkey","FOREIGN KEY (team_id) REFERENCES teams(id) ON DELETE CASCADE","f","f"
"user_roles","user_roles_user_id_fkey","FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE","f","f"
"user_roles","user_roles_pkey","PRIMARY KEY (id)","p","p"
"user_roles","user_roles_unique_context","UNIQUE (user_id, role_id, team_id, project_id)","u","u"
"user_roles","user_roles_user_team_role_key","UNIQUE (user_id, team_id, role_id)","u","u"
